agg_type,ATT,SE,CI_lower,CI_upper,n_total_cells,n_valid_cells,weight_sum,dataset,outcome,event_time
group,0.13743241089940458,0.07585694617406659,-0.011247203601765926,0.2861120254005751,62,62,50468.0,All_POIs,lcus,11.0
group,-0.07988198063416317,0.08024384549286424,-0.2371599178001771,0.07739595653185073,61,61,39833.0,All_POIs,lcus,12.0
group,0.08567969491582961,0.15988434584500405,-0.22769362294037832,0.39905301277203753,60,60,37860.0,All_POIs,lcus,13.0
group,0.05013529239145838,0.05590658350071072,-0.059441611269934636,0.1597121960528514,59,59,23187.0,All_POIs,lcus,14.0
group,-0.055388299137670925,0.04620892869811649,-0.14595779938597925,0.03518120111063739,58,58,33814.0,All_POIs,lcus,15.0
group,-0.12746354799556409,0.04141743495025758,-0.20864172049806895,-0.046285375493059236,57,57,41952.0,All_POIs,lcus,16.0
group,-0.004526643887107906,0.04543588235046695,-0.09358097329402314,0.08452768551980731,56,56,37632.0,All_POIs,lcus,17.0
group,-0.02844379007982049,0.06097190153079036,-0.1479487170801696,0.09106113692052861,55,55,20845.0,All_POIs,lcus,18.0
group,-0.09696828965978972,0.05651414468032071,-0.20773601323321833,0.013799433913638873,54,54,20574.0,All_POIs,lcus,19.0
group,-0.06898276630431786,0.07210366915818955,-0.2103059578543694,0.07234042524573366,53,53,17437.0,All_POIs,lcus,20.0
group,0.007080328647288316,0.04327474350464373,-0.07773816862181339,0.09189882591639002,52,52,39416.0,All_POIs,lcus,21.0
group,-0.02834665654631123,0.049728726944589796,-0.12581496135770723,0.06912164826508477,51,51,23664.0,All_POIs,lcus,22.0
group,-0.057817891319586714,0.06087188158319203,-0.17712677922264308,0.06149099658346967,50,50,17650.0,All_POIs,lcus,23.0
group,-0.12062008872207737,0.0899103966950399,-0.29684446624435556,0.05560428880020084,49,49,10143.0,All_POIs,lcus,24.0
group,0.0699388651404861,0.05626953441185639,-0.040349422306752425,0.18022715258772462,48,48,17808.0,All_POIs,lcus,25.0
group,-0.008090380931062447,0.06030347539270349,-0.1262851927007613,0.1101044308386364,47,47,17719.0,All_POIs,lcus,26.0
group,-0.06298332182200904,0.05813627024047961,-0.1769304114933491,0.050963767849331,46,46,19044.0,All_POIs,lcus,27.0
group,-0.0008334975860437914,0.036380797863896544,-0.07213986139928101,0.07047286622719344,45,45,47970.0,All_POIs,lcus,28.0
group,-0.055793011298616885,0.04779689184992383,-0.1494749193244676,0.03788889672723382,44,44,27852.0,All_POIs,lcus,29.0
group,-0.01038289354534097,0.059308214415059776,-0.1266269937988581,0.10586120670817618,43,43,17200.0,All_POIs,lcus,30.0
group,-0.0017990874548026383,0.05497373632886444,-0.10954761065937695,0.10594943574977166,42,42,18816.0,All_POIs,lcus,31.0
group,0.009656721851762752,0.05421577313137651,-0.09660619348573521,0.11591963718926071,41,41,25010.0,All_POIs,lcus,32.0
group,-0.04821712007768562,0.05220850851471689,-0.1505457967665307,0.05411155661115948,40,40,21480.0,All_POIs,lcus,33.0
group,0.03604315153600136,0.06891529172381285,-0.09903082024267182,0.17111712331467452,39,39,9711.0,All_POIs,lcus,34.0
group,0.008038214854589477,0.05903339322425209,-0.10766723586494462,0.12374366557412358,38,38,12426.0,All_POIs,lcus,35.0
group,0.095482494499489,0.07053591255769551,-0.04276789411359419,0.2337328831125722,37,37,9842.0,All_POIs,lcus,36.0
group,0.06838661682942353,0.06346128342658534,-0.055997498686683744,0.1927707323455308,36,36,9936.0,All_POIs,lcus,37.0
