term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,dataset,model,outcome,pre_window,post_window,n_stacks,n_original_pois,n_stacked_rows,pct_effect,pct_ci_low95,pct_ci_hi95,target,spec,max_control_pois
competitor_port_treat_level2,1.6987607373705554e-06,2.6208627151319433e-06,0.6481685315154075,0.5168759527956879,-3.4381301842880534e-06,6.835651659029165e-06,8405008,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,82320,8405008,0.00016987621802653938,-0.0003438124273925245,0.0006835675022149201,spatial,control_cap_10000,10000
competitor_port_treat_dc,-7.93063509832856e-05,1.4101942443854834e-05,-5.623789155219869,1.8681364593134825e-08,-0.00010694615817324107,-5.1666543793330125e-05,8405008,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,82320,8405008,-0.007930320631776365,-0.010694043963672737,-0.005166520910044277,spatial,control_cap_10000,10000
competitor_port_treat,-1.5784042559908243e-06,3.057495239268749e-06,-0.5162409529600204,0.6056861307433012,-7.571094924957572e-06,4.414286412975923e-06,8405008,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,71,82320,8405008,-0.00015784030103114822,-0.0007571066264290721,0.00044142961559525274,spatial,control_cap_10000,10000
competitor_port_treat_level2,1.010901481175713e-06,3.0926718041857554e-06,0.3268699510266545,0.7437662493730531,-5.050735255028367e-06,7.072538217379794e-06,8405008,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,82320,8405008,0.00010109019921367875,-0.0005050722500086534,0.0007072563227837175,spatial,control_cap_10000,10000
competitor_port_treat_dc,-7.115906271602262e-05,1.6992491136883203e-05,-4.187676906393535,2.8182433016959307e-05,-0.00010446434534431369,-3.785378008773154e-05,8405008,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,82320,8405008,-0.0071156530969971885,-0.010445888913458436,-0.0037853063642438152,spatial,control_cap_10000,10000
competitor_port_treat,-7.696363353951653e-07,2.607058121649406e-06,-0.29521257274779894,0.7678314981172905,-5.879470253828001e-06,4.340197583037671e-06,16467314,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,71,82696,16467314,-7.696360392251969e-05,-0.0005879452969776641,0.00043402070017088267,spatial,control_cap_20000,20000
competitor_port_treat_level2,2.1274450825227536e-06,2.606424574186708e-06,0.8162312094477501,0.4143679100134904,-2.9811470828831937e-06,7.236037247928701e-06,16467314,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,82696,16467314,0.0002127447345535648,-0.00029811426392686445,0.0007236063428109375,spatial,control_cap_20000,20000
competitor_port_treat_dc,-7.795049566878938e-05,1.4061347497608521e-05,-5.543600688486419,2.963141526061511e-08,-0.00010551073676410208,-5.0390254573476676e-05,16467314,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,82696,16467314,-0.007794745760784184,-0.01055051707020773,-0.005038898500592338,spatial,control_cap_20000,20000
competitor_port_treat,-1.0765150541693972e-06,3.0361063666579066e-06,-0.35457092873673146,0.7229110583622449,-7.027283532818894e-06,4.8742534244801005e-06,16467314,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,71,82696,16467314,-0.00010765144747272743,-0.0007027258841519807,0.0004874265303672624,spatial,control_cap_20000,20000
competitor_port_treat_level2,1.428645227189317e-06,3.0752607334664574e-06,0.4645606831453726,0.642246093462719,-4.59886581040494e-06,7.456156264783574e-06,16467314,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,82696,16467314,0.00014286462477033956,-0.0004598855235637779,0.0007456184061985783,spatial,control_cap_20000,20000
competitor_port_treat_dc,-6.781624217654698e-05,1.696579023964844e-05,-3.997234506534383,6.408680519242112e-05,-0.00010106919104625792,-3.456329330683604e-05,16467314,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,82696,16467314,-0.006781394270717626,-0.010106408372763418,-0.0034562696003095548,spatial,control_cap_20000,20000
competitor_port_treat,-1.2455472543402128e-06,2.616117185808236e-06,-0.4761052987599282,0.6339993622179076,-6.373136938524356e-06,3.882042429843929e-06,38648552,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,71,82714,38648552,-0.00012455464786465534,-0.000637311663013028,0.00038820499649803937,spatial,control_cap_none,
competitor_port_treat_level2,1.705352585346775e-06,2.610987414610517e-06,0.6531446975975422,0.5136629987774268,-3.4121827472898385e-06,6.822887917983388e-06,38648552,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,82714,38648552,0.00017053540394613217,-0.00034121769258009093,0.0006822911193936095,spatial,control_cap_none,
competitor_port_treat_dc,-7.939347963782508e-05,1.4023835091689762e-05,-5.661324389422694,1.5020917251710196e-08,-0.00010688019641753701,-5.1906762858113146e-05,38648552,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,82714,38648552,-0.007939032805892607,-0.010687448493282722,-0.005190541572540648,spatial,control_cap_none,
competitor_port_treat,-1.542582354645548e-06,3.0392145277007672e-06,-0.5075595488853317,0.611762264946164,-7.499442828939052e-06,4.414278119647956e-06,38648552,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,71,82714,38648552,-0.00015425811648659993,-0.0007499414708187976,0.00044142878625879505,spatial,control_cap_none,
competitor_port_treat_level2,1.029674866389307e-06,3.075198634875642e-06,0.33483198604208086,0.7377518304761096,-4.9977144579669515e-06,7.057064190745566e-06,38648552,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,82714,38648552,0.00010296753965046543,-0.0004997701969412854,0.0007057089091881638,spatial,control_cap_none,
competitor_port_treat_dc,-6.966301825655836e-05,1.685835551322097e-05,-4.1322546675401375,3.59222095357569e-05,-0.00010270539506247147,-3.662064145064526e-05,38648552,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,82714,38648552,-0.00696605918448461,-0.010270012104394226,-0.0036619970923140203,spatial,control_cap_none,
