term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,dataset,model,outcome,pre_window,post_window,n_stacks,n_original_pois,n_stacked_rows,pct_effect,pct_ci_low95,pct_ci_hi95,target,spec,max_control_pois
competitor_port_treat_dc,-6.537073343851709e-05,1.7660343701327724e-05,-3.7015549948556465,0.00021428219828926795,-9.998500709311944e-05,-3.075645978391475e-05,6428340,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,6,71,80469,6428340,-0.006536859681867967,-0.009998000875888528,-0.0030755986808854562,spatial,window_pre6_post6,10000
competitor_port_treat,-1.2075314140983677e-06,2.6255977981567555e-06,-0.45990723139168127,0.6455828094270597,-6.353703098485608e-06,3.9386402702888734e-06,8405008,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,71,82320,8405008,-0.00012075306850326033,-0.0006353682913756826,0.0003938648026742646,spatial,window_pre6_post12,10000
competitor_port_treat_level2,1.6987607373705554e-06,2.6208627151319433e-06,0.6481685315154075,0.5168759527956879,-3.4381301842880534e-06,6.835651659029165e-06,8405008,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,82320,8405008,0.00016987621802653938,-0.0003438124273925245,0.0006835675022149201,spatial,window_pre6_post12,10000
competitor_port_treat_dc,-7.93063509832856e-05,1.4101942443854834e-05,-5.623789155219869,1.8681364593134825e-08,-0.00010694615817324107,-5.1666543793330125e-05,8405008,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,82320,8405008,-0.007930320631776365,-0.010694043963672737,-0.005166520910044277,spatial,window_pre6_post12,10000
competitor_port_treat,-1.5784042559908243e-06,3.057495239268749e-06,-0.5162409529600204,0.6056861307433012,-7.571094924957572e-06,4.414286412975923e-06,8405008,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,71,82320,8405008,-0.00015784030103114822,-0.0007571066264290721,0.00044142961559525274,spatial,window_pre6_post12,10000
competitor_port_treat_level2,1.010901481175713e-06,3.0926718041857554e-06,0.3268699510266545,0.7437662493730531,-5.050735255028367e-06,7.072538217379794e-06,8405008,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,82320,8405008,0.00010109019921367875,-0.0005050722500086534,0.0007072563227837175,spatial,window_pre6_post12,10000
competitor_port_treat_dc,-7.115906271602262e-05,1.6992491136883203e-05,-4.187676906393535,2.8182433016959307e-05,-0.00010446434534431369,-3.785378008773154e-05,8405008,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,82320,8405008,-0.0071156530969971885,-0.010445888913458436,-0.0037853063642438152,spatial,window_pre6_post12,10000
competitor_port_treat,-3.3608874665683912e-06,2.890841578088812e-06,-1.1625982869633191,0.24499252614381561,-9.026936959622462e-06,2.3051620264856803e-06,10226692,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,12,12,71,82462,10226692,-0.00033608818187924367,-0.0009026896216949619,0.00023051646833737062,spatial,window_pre12_post12,10000
competitor_port_treat_level2,1.154437878256062e-06,2.814611122544664e-06,0.4101589271104512,0.6816893682437822,-4.362199921931479e-06,6.6710756784436035e-06,10226692,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,12,12,71,82462,10226692,0.00011544385446197257,-0.00043621904075512346,0.0006671097930118438,spatial,window_pre12_post12,10000
competitor_port_treat_dc,-0.00010735629842531131,1.5326076658263757e-05,-7.0048128310401765,2.4731623276196023e-12,-0.00013739540867550826,-7.731718817511434e-05,10226692,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,12,12,71,82462,10226692,-0.010735053594412026,-0.013738597035861113,-0.007731419927835222,spatial,window_pre12_post12,10000
competitor_port_treat,-2.2388965743965786e-06,3.3620780429723707e-06,-0.6659264138964479,0.5054581363113958,-8.828569538622424e-06,4.350776389829268e-06,10226692,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,12,12,71,82462,10226692,-0.0002238894068069514,-0.0008828530566917063,0.0004350785854470591,spatial,window_pre12_post12,10000
competitor_port_treat_level2,1.7692913855169818e-06,3.361205109763807e-06,0.5263860216020291,0.5986200258916876,-4.81867062962008e-06,8.357253400654043e-06,10226692,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,12,12,71,82462,10226692,0.00017692929507139084,-0.000481865901984541,0.0008357288322593529,spatial,window_pre12_post12,10000
competitor_port_treat_dc,-9.455409476246928e-05,1.818986765427057e-05,-5.198173871279933,2.0125583926058874e-07,-0.0001302062353648396,-5.8901954160098965e-05,10226692,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,12,12,71,82462,10226692,-0.009454962466494089,-0.01301977589008758,-0.005890021947405599,spatial,window_pre12_post12,10000
competitor_port_treat,-2.8612390558606292e-06,3.060058613437195e-06,-0.9350275329029587,0.3497741104545411,-8.85895393819753e-06,3.136475826476273e-06,12686028,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,12,24,71,85081,12686028,-0.00028612349625200655,-0.0008858914697780967,0.00031364807452217205,spatial,window_pre12_post24,10000
competitor_port_treat_level2,2.2406627192220132e-06,3.011902853088845e-06,0.7439359197538893,0.4569152433168032,-3.662666872832123e-06,8.14399231127615e-06,12686028,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,12,24,71,85081,12686028,0.00022406652295085987,-0.0003662660165276001,0.0008144025473671558,spatial,window_pre12_post24,10000
competitor_port_treat_dc,-0.00011651794530163342,1.6455276570509588e-05,-7.080886474460823,1.4323520965446199e-12,-0.00014877028737983223,-8.426560322343463e-05,12686028,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,12,24,71,85081,12686028,-0.011651115734948673,-0.014875922162938711,-0.008426205297721324,spatial,window_pre12_post24,10000
competitor_port_treat,7.905951312316436e-08,3.423514050756169e-06,0.023093088549089518,0.9815760187564089,-6.631028026358927e-06,6.789147052605256e-06,12686028,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,12,24,71,85081,12686028,7.905951624836775e-06,-0.0006631006041141179,0.0006789170098916262,spatial,window_pre12_post24,10000
competitor_port_treat_level2,4.406117648842619e-06,3.3865084266514517e-06,1.301079782990337,0.19323114708523215,-2.231438867394227e-06,1.1043674165079464e-05,12686028,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,12,24,71,85081,12686028,0.00044061273557932434,-0.00022314363777363694,0.001104373514667348,spatial,window_pre12_post24,10000
competitor_port_treat_dc,-9.631620584493659e-05,1.9057638803878915e-05,-5.0539422452131255,4.3278252923334276e-07,-0.00013366917790053927,-5.896323378933391e-05,12686028,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,12,24,71,85081,12686028,-0.00963115675880967,-0.013366024457402021,-0.005896149549202984,spatial,window_pre12_post24,10000
