term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,dataset,model,outcome,pre_window,post_window,n_stacks,n_original_pois,n_stacked_rows,pct_effect,pct_ci_low95,pct_ci_hi95,target,spec,max_control_pois,poi_type
competitor_port_treat_level2,5.6895311031233045e-06,4.446248396441852e-06,1.279625112190403,0.20067701366039148,-3.0251157539027244e-06,1.4404177960149333e-05,747642,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,30,4050,747642,0.0005689547288536087,-0.0003025111178244676,0.0014404281700818786,spatial,poi_type_Clothing,10000,Clothing
competitor_port_treat_dc,-3.9012465145108295e-05,0.00011215685467066341,-0.3478384380487864,0.7279615206914709,-0.0002588399002996086,0.000180814970009392,747642,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,30,4050,747642,-0.003901170416878583,-0.02588064041427247,0.018083131802138865,spatial,poi_type_Clothing,10000,Clothing
competitor_port_treat,9.303819119295256e-06,0.00017256722107243273,0.05391417362738955,0.9570035441687941,-0.0003289279341826729,0.0003475355724212634,1251924,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,27,4773,1251924,0.0009303862399954582,-0.03288738433205578,0.03475959699048679,spatial,poi_type_Gas_Convenience,10000,Gas_Convenience
competitor_port_treat_level2,0.00041720264910616995,0.00032713100775227905,1.2753381343235366,0.202189585651407,-0.00022397412608829697,0.0010583794243006369,1251924,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,27,4773,1251924,0.04172896902355563,-0.02239490457562019,0.105893970544944,spatial,poi_type_Gas_Convenience,10000,Gas_Convenience
competitor_port_treat_dc,-0.0003630744281658663,0.0003680997353938616,-0.9863479738103633,0.3239623857706774,-0.001084549909537835,0.00035840105320610245,1251924,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,27,4773,1251924,-0.03630085246218775,-0.10839619978437616,0.03584652865371074,spatial,poi_type_Gas_Convenience,10000,Gas_Convenience
competitor_port_treat,-9.253637564159253e-05,0.0002688995374531785,-0.34412991750759414,0.7307485844863439,-0.0006195794690498224,0.00043450671776663733,1251924,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,27,4773,1251924,-0.009253209428324556,-0.06193875693250111,0.043460112948420955,spatial,poi_type_Gas_Convenience,10000,Gas_Convenience
competitor_port_treat_level2,0.0003012574739403213,0.00044540123431734575,0.6763732354762114,0.49880370575541644,-0.0005717289453216764,0.0011742438932023191,1251924,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,27,4773,1251924,0.030130285653029085,-0.05715655394709856,0.11749335874926986,spatial,poi_type_Gas_Convenience,10000,Gas_Convenience
competitor_port_treat_dc,-0.0004520379302395975,0.0005769372173537442,-0.7835132084440208,0.4333258003481175,-0.001582834876252936,0.000678759015773741,1251924,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,27,4773,1251924,-0.045193577648744654,-0.15815828537989202,0.06789894248022743,spatial,poi_type_Gas_Convenience,10000,Gas_Convenience
competitor_port_treat,-8.60208438559653e-05,4.2848440442864364e-05,-2.0075606712143594,0.044689997350612194,-0.00017000378712397944,-2.0379005879511453e-06,6214035,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,70,11213,6214035,-0.00860171441692606,-0.016998933729901446,-0.00020378985114331526,spatial,poi_type_Grocery,10000,Grocery
competitor_port_treat_level2,-6.5247430852364e-05,3.4615282566681926e-05,-1.88493133709578,0.05943910861914306,-0.00013309338468306056,2.5985229783325603e-06,6214035,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,70,11213,6214035,-0.006524530228504236,-0.013308452815145698,0.0002598526354496319,spatial,poi_type_Grocery,10000,Grocery
