stack_id,event_start,event_end,n_rows,n_treated_pois,n_control_pois,max_control_pois,target,test
39,-6,12,127580,863,10000,10000,broad,pretrend_placebo
40,-6,12,123233,527,10000,10000,broad,pretrend_placebo
41,-6,12,126694,643,10000,10000,broad,pretrend_placebo
42,-6,12,145037,1753,10000,10000,broad,pretrend_placebo
43,-6,12,128788,629,10000,10000,broad,pretrend_placebo
44,-6,12,127241,398,10000,10000,broad,pretrend_placebo
45,-6,12,128521,563,10000,10000,broad,pretrend_placebo
46,-6,12,132486,939,10000,10000,broad,pretrend_placebo
47,-6,12,127305,459,10000,10000,broad,pretrend_placebo
48,-6,12,132327,729,10000,10000,broad,pretrend_placebo
49,-6,12,128864,611,10000,10000,broad,pretrend_placebo
50,-6,12,128302,684,10000,10000,broad,pretrend_placebo
51,-6,12,129621,677,10000,10000,broad,pretrend_placebo
52,-6,12,133255,992,10000,10000,broad,pretrend_placebo
53,-6,12,128720,728,10000,10000,broad,pretrend_placebo
54,-6,12,126315,576,10000,10000,broad,pretrend_placebo
55,-6,12,126980,619,10000,10000,broad,pretrend_placebo
56,-6,12,126538,573,10000,10000,broad,pretrend_placebo
57,-6,12,123245,379,10000,10000,broad,pretrend_placebo
58,-6,12,125485,616,10000,10000,broad,pretrend_placebo
59,-6,12,118160,615,10000,10000,broad,pretrend_placebo
60,-6,12,118295,868,10000,10000,broad,pretrend_placebo
61,-6,12,111409,506,10000,10000,broad,pretrend_placebo
62,-6,11,110325,645,10000,10000,broad,pretrend_placebo
63,-6,10,103423,516,10000,10000,broad,pretrend_placebo
64,-6,9,99468,517,10000,10000,broad,pretrend_placebo
65,-6,8,93381,491,10000,10000,broad,pretrend_placebo
66,-6,7,89428,584,10000,10000,broad,pretrend_placebo
67,-6,6,85543,798,10000,10000,broad,pretrend_placebo
68,-6,5,77152,412,10000,10000,broad,pretrend_placebo
69,-6,4,73783,611,10000,10000,broad,pretrend_placebo
70,-6,3,66492,431,10000,10000,broad,pretrend_placebo
71,-6,2,59734,224,10000,10000,broad,pretrend_placebo
72,-6,1,55196,472,10000,10000,broad,pretrend_placebo
1,0,12,100747,184,10000,10000,spatial,pretrend_placebo
2,-1,12,109346,432,10000,10000,spatial,pretrend_placebo
3,-2,12,115596,341,10000,10000,spatial,pretrend_placebo
4,-3,12,119686,201,10000,10000,spatial,pretrend_placebo
5,-4,12,126930,269,10000,10000,spatial,pretrend_placebo
6,-5,12,132446,193,10000,10000,spatial,pretrend_placebo
7,-6,12,141395,324,10000,10000,spatial,pretrend_placebo
8,-6,12,139886,308,10000,10000,spatial,pretrend_placebo
9,-6,12,139298,375,10000,10000,spatial,pretrend_placebo
10,-6,12,135699,199,10000,10000,spatial,pretrend_placebo
11,-6,12,137717,431,10000,10000,spatial,pretrend_placebo
12,-6,12,137816,413,10000,10000,spatial,pretrend_placebo
14,-6,12,142417,788,10000,10000,spatial,pretrend_placebo
15,-6,12,134378,349,10000,10000,spatial,pretrend_placebo
16,-6,12,135676,496,10000,10000,spatial,pretrend_placebo
17,-6,12,139928,665,10000,10000,spatial,pretrend_placebo
18,-6,12,135256,510,10000,10000,spatial,pretrend_placebo
19,-6,12,134504,431,10000,10000,spatial,pretrend_placebo
20,-6,12,133990,381,10000,10000,spatial,pretrend_placebo
21,-6,12,135426,516,10000,10000,spatial,pretrend_placebo
22,-6,12,141883,967,10000,10000,spatial,pretrend_placebo
23,-6,12,131694,328,10000,10000,spatial,pretrend_placebo
24,-6,12,129307,391,10000,10000,spatial,pretrend_placebo
25,-6,12,126354,261,10000,10000,spatial,pretrend_placebo
26,-6,12,125538,332,10000,10000,spatial,pretrend_placebo
27,-6,12,125194,400,10000,10000,spatial,pretrend_placebo
28,-6,12,124730,430,10000,10000,spatial,pretrend_placebo
29,-6,12,133541,1100,10000,10000,spatial,pretrend_placebo
30,-6,12,123841,673,10000,10000,spatial,pretrend_placebo
31,-6,12,121292,466,10000,10000,spatial,pretrend_placebo
32,-6,12,118679,415,10000,10000,spatial,pretrend_placebo
33,-6,12,122763,728,10000,10000,spatial,pretrend_placebo
34,-6,12,118749,535,10000,10000,spatial,pretrend_placebo
35,-6,12,117434,299,10000,10000,spatial,pretrend_placebo
36,-6,12,117645,226,10000,10000,spatial,pretrend_placebo
37,-6,12,120046,436,10000,10000,spatial,pretrend_placebo
38,-6,12,119145,312,10000,10000,spatial,pretrend_placebo
39,-6,12,122944,695,10000,10000,spatial,pretrend_placebo
40,-6,12,119431,276,10000,10000,spatial,pretrend_placebo
41,-6,12,122356,409,10000,10000,spatial,pretrend_placebo
42,-6,12,130357,743,10000,10000,spatial,pretrend_placebo
43,-6,12,125774,349,10000,10000,spatial,pretrend_placebo
44,-6,12,123309,226,10000,10000,spatial,pretrend_placebo
45,-6,12,126063,375,10000,10000,spatial,pretrend_placebo
46,-6,12,125831,371,10000,10000,spatial,pretrend_placebo
47,-6,12,124017,263,10000,10000,spatial,pretrend_placebo
48,-6,12,126264,361,10000,10000,spatial,pretrend_placebo
49,-6,12,126079,344,10000,10000,spatial,pretrend_placebo
50,-6,12,124079,289,10000,10000,spatial,pretrend_placebo
51,-6,12,123112,240,10000,10000,spatial,pretrend_placebo
52,-6,12,129263,644,10000,10000,spatial,pretrend_placebo
53,-6,12,122857,275,10000,10000,spatial,pretrend_placebo
54,-6,12,123624,260,10000,10000,spatial,pretrend_placebo
55,-6,12,123676,290,10000,10000,spatial,pretrend_placebo
56,-6,12,123307,289,10000,10000,spatial,pretrend_placebo
57,-6,12,121774,192,10000,10000,spatial,pretrend_placebo
58,-6,12,118298,156,10000,10000,spatial,pretrend_placebo
59,-6,12,114111,280,10000,10000,spatial,pretrend_placebo
60,-6,12,114181,434,10000,10000,spatial,pretrend_placebo
61,-6,12,110806,340,10000,10000,spatial,pretrend_placebo
62,-6,11,105740,276,10000,10000,spatial,pretrend_placebo
63,-6,10,101307,298,10000,10000,spatial,pretrend_placebo
64,-6,9,94848,176,10000,10000,spatial,pretrend_placebo
65,-6,8,91077,283,10000,10000,spatial,pretrend_placebo
66,-6,7,85483,179,10000,10000,spatial,pretrend_placebo
67,-6,6,81793,349,10000,10000,spatial,pretrend_placebo
68,-6,5,76422,303,10000,10000,spatial,pretrend_placebo
69,-6,4,71045,271,10000,10000,spatial,pretrend_placebo
70,-6,3,64610,202,10000,10000,spatial,pretrend_placebo
71,-6,2,58847,125,10000,10000,spatial,pretrend_placebo
72,-6,1,52882,128,10000,10000,spatial,pretrend_placebo
